"","X2017.12","X2018.12"
"매출액",240,417
"매출원가",239,365
"매출총이익",1,53
"판매비와관리비",46,48
"인건비",23,21
"유무형자산상각비",5,4
"연구개발비",0,0
"광고선전비",0,0
"판매비",0,8
"관리비",18,14
"기타원가성비용",NA,NA
"기타",NA,0
"영업이익",-44,5
"영업이익(발표기준)",-44,5
"금융수익",17,122
"이자수익",0,1
"배당금수익",NA,NA
"외환이익",0,0
"대손충당금환입액",NA,NA
"매출채권처분이익",NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA
"금융자산처분이익",NA,NA
"금융자산평가이익",NA,NA
"금융자산손상차손환입",NA,NA
"파생상품이익",16,121
"기타금융수익",NA,NA
"금융원가",35,232
"이자비용",19,23
"외환손실",0,0
"대손상각비",NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA
"매출채권처분손실",NA,NA
"금융자산처분손실",NA,NA
"금융자산평가손실",NA,NA
"금융자산손상차손",NA,NA
"파생상품손실",14,209
"기타금융원가",2,0
"기타수익",9,8
"재고자산감모손실환입",NA,NA
"재고자산폐기(처분)이익",NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA
"자산처분(폐기)이익",4,1
"자산평가이익",0,0
"자산손상차손환입",NA,NA
"임대료수익",NA,NA
"로열티수익",NA,NA
"수수료수익",NA,NA
"대손충당금환입",NA,NA
"충당부채환입액",NA,NA
"기타비용",32,33
"재고자산감모손실",NA,NA
"재고자산폐기(처분)손실",NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,19
"자산처분(폐기)손실",3,0
"자산평가손실",0,0
"자산손상차손",17,10
"기타대손상각비",1,2
"충당부채전입액",NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA
"지분법손익",NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA
"세전계속사업이익",-85,-131
"법인세비용",1,NA
"계속영업이익",-86,-131
"중단영업이익",-9,NA
"당기순이익",-96,-131
"지배주주순이익",-96,-130
"비지배주주순이익",NA,0
"자산",303,526
"유동자산",87,315
"재고자산",27,63
"유동생물자산",NA,NA
"유동금융자산",19,71
"매출채권및기타유동채권",31,101
"당기법인세자산",0,NA
"계약자산",NA,NA
"반품(환불)자산",NA,NA
"배출권",NA,NA
"기타유동자산",3,20
"현금및현금성자산",8,61
"매각예정비유동자산및처분자산집단",NA,NA
"비유동자산",216,211
"유형자산",210,180
"무형자산",1,12
"비유동생물자산",NA,NA
"투자부동산",NA,NA
"장기금융자산",3,4
"관계기업등지분관련투자자산",NA,NA
"장기매출채권및기타비유동채권",1,14
"이연법인세자산",NA,NA
"장기당기법인세자산",NA,NA
"기타비유동자산",0,0
"기타금융업자산",NA,NA
"부채",249,213
"유동부채",248,212
"단기사채",131,96
"단기차입금",37,NA
"유동성장기부채",NA,0
"유동금융부채",50,96
"매입채무및기타유동채무",30,19
"유동종업원급여충당부채",NA,NA
"기타단기충당부채",0,0
"당기법인세부채",NA,NA
"계약부채",NA,NA
"반품(환불)부채",NA,NA
"배출부채",NA,NA
"기타유동부채",1,1
"매각예정으로분류된처분자산집단에포함된부채",NA,NA
"비유동부채",1,1
"사채",NA,NA
"장기차입금",NA,0
"비유동금융부채",NA,NA
"장기매입채무및기타비유동채무",1,1
"비유동종업원급여충당부채",NA,NA
"기타장기충당부채",NA,NA
"이연법인세부채",NA,NA
"장기당기법인세부채",NA,NA
"기타비유동부채",NA,NA
"기타금융업부채",NA,NA
"자본",54,313
"지배기업주주지분",54,313
"자본금",95,23
"신종자본증권",NA,NA
"자본잉여금",454,751
"기타자본",2,-1
"기타포괄손익누계액",NA,-8
"이익잉여금(결손금)",-497,-452
"비지배주주지분",NA,0
"영업활동으로인한현금흐름",-32,-103
"당기순손익",-96,-131
"법인세비용차감전계속사업이익",NA,NA
"현금유출이없는비용등가산",97,288
"퇴직급여",NA,NA
"종업원급여",NA,NA
"주식보상비",NA,NA
"감가상각비",31,24
"무형자산상각비",0,0
"계약부채전입액",NA,NA
"반품(환불)부채전입액",NA,NA
"배출부채전입액",NA,NA
"기타의대손상각비",1,2
"배당금지급",NA,NA
"금융부채관련손실",NA,NA
"사채상환손실",9,NA
"투자자산평가손실",0,0
"자산재평가손실",NA,NA
"지분법관련손실",NA,NA
"종속기업관련손실",NA,NA
"관계기업관련손익",NA,NA
"(현금유입이없는수익등차감)",23,128
"금융부채관련이익",NA,NA
"사채상환이익",NA,5
"퇴직급여충당부채환입액",NA,NA
"계약부채환입액",NA,NA
"반품(환불)부채환입액",NA,NA
"배출부채환입액",NA,NA
"주식보상비환입",NA,NA
"투자자산평가이익",NA,NA
"자산재평가이익",NA,NA
"지분법관련이익",NA,NA
"종속회사관련이익",NA,NA
"법인세수익",NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-5,-130
"자산의감소(증가)",-5,-125
"부채의증가(감소)",1,-5
"정부보조금등의변동",NA,NA
"기타운전자본의변동",NA,NA
"*영업에서창출된현금흐름",-26,-101
"기타영업활동으로인한현금흐름",-6,-2
"이자수입",0,0
"이자지급(-)",-6,-3
"배당금수입",NA,NA
"배당금지급(-)",NA,NA
"법인세환입",NA,NA
"법인세납부(-)",NA,0
"중단영업관련현금흐름",NA,NA
"투자활동으로인한현금흐름",139,-49
"투자활동으로인한현금유입액",296,122
"유동금융자산의감소",105,19
"장기금융상품의감소",NA,NA
"매도가능금융자산의감소",NA,NA
"만기보유금융자산의감소",NA,NA
"장기대여금의감소",1,0
"파생상품의변동",NA,NA
"기타비유동금융자산의감소",NA,1
"관계기업등지분관련투자자산의감소",NA,NA
"유형자산의감소",2,0
"무형자산의감소",NA,NA
"생물자산의감소",NA,NA
"투자부동산의감소",120,NA
"기타투자활동으로인한현금유입액",68,101
"(투자활동으로인한현금유출액)",157,171
"유동금융자산의증가",115,40
"장기금융상품의증가",NA,NA
"매도가능금융자산의증가",NA,NA
"만기보유금융자산의증가",NA,NA
"장기대여금의증가",NA,NA
"기타비유동금융자산의증가",NA,NA
"관계기업등지분관련투자자산의증가",28,7
"유형자산의증가",7,4
"무형자산의증가",0,5
"생물자산의증가",NA,NA
"투자부동산의증가",NA,NA
"기타투자활동으로인한현금유출액",7,115
"기타투자활동으로인한현금흐름",NA,NA
"재무활동으로인한현금흐름",-103,203
"재무활동으로인한현금유입액",410,430
"사채의증가",164,200
"차입금의증가",215,110
"미지급금의증가",NA,NA
"유동성장기부채의증가",NA,NA
"기타금융부채의증가",NA,NA
"기타부채의증가",NA,NA
"유상증자",32,120
"자기주식의처분",NA,NA
"주식매입선택권의행사",NA,NA
"자본구성항목의증가",NA,NA
"기타재무활동으로인한현금유입액",NA,NA
"(재무활동으로인한현금유출액)",513,227
"사채의감소",139,79
"차입금의감소",348,147
"미지급금의감소",NA,NA
"유동성장기부채의감소",25,NA
"기타금융부채의감소",NA,NA
"기타부채의감소",NA,NA
"유상감자",NA,NA
"자기주식의취득",NA,NA
"자본구성항목의감소",NA,NA
"기타재무활동으로인한현금유출액",0,1
"기타재무활동으로인한현금흐름",NA,NA
"영업투자재무활동기타현금흐름",0,2
"연결범위변동으로인한현금의증가",NA,NA
"환율변동효과",0,NA
"현금및현금성자산의증가",4,53
"기초현금및현금성자산",3,8
"기말현금및현금성자산",8,61
