"","X2017.12","X2018.12","X2019.12"
"매출액",9624,7142,4621
"매출원가",9003,6131,3895
"매출총이익",621,1012,726
"판매비와관리비",359,554,442
"인건비",92,89,101
"유무형자산상각비",15,13,18
"연구개발비",73,186,122
"광고선전비",NA,NA,NA
"판매비",27,27,-4
"관리비",139,205,164
"기타원가성비용",NA,NA,NA
"기타",13,35,41
"영업이익",262,458,284
"영업이익(발표기준)",262,458,284
"금융수익",67,21,26
"이자수익",9,7,7
"배당금수익",NA,NA,NA
"외환이익",57,14,18
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,0,0
"금융자산평가이익",0,0,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,0
"금융원가",44,124,121
"이자비용",29,56,56
"외환손실",15,67,65
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,0,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",160,125,66
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,0,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",4,6,8
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",182,200,132
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,22,8
"자산평가손실",NA,NA,NA
"자산손상차손",11,68,66
"기타대손상각비",12,2,0
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",263,279,124
"법인세비용",72,27,30
"계속영업이익",191,252,95
"중단영업이익",NA,NA,NA
"당기순이익",191,252,95
"지배주주순이익",191,252,95
"비지배주주순이익",NA,NA,NA
"자산",4680,4210,4210
"유동자산",3245,2844,2524
"재고자산",524,1418,1341
"유동생물자산",NA,NA,NA
"유동금융자산",348,95,1
"매출채권및기타유동채권",1660,253,440
"당기법인세자산",NA,NA,NA
"계약자산",NA,669,318
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",85,64,124
"현금및현금성자산",627,345,300
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",1436,1366,1685
"유형자산",1096,1080,867
"무형자산",239,154,68
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,129
"장기금융자산",1,1,5
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",6,6,40
"이연법인세자산",93,124,132
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,1,53
"기타금융업자산",NA,NA,NA
"부채",3785,3146,3068
"유동부채",3425,2911,2868
"단기사채",NA,NA,NA
"단기차입금",1213,1387,1213
"유동성장기부채",52,74,59
"유동금융부채",NA,NA,27
"매입채무및기타유동채무",1377,1205,993
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",71,18,61
"당기법인세부채",28,58,29
"계약부채",NA,168,484
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",684,1,1
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",360,235,200
"사채",NA,NA,NA
"장기차입금",223,148,89
"비유동금융부채",NA,NA,22
"장기매입채무및기타비유동채무",42,34,25
"비유동종업원급여충당부채",19,0,13
"기타장기충당부채",77,52,51
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",895,1064,1141
"지배기업주주지분",895,1064,1141
"자본금",76,76,76
"신종자본증권",NA,NA,NA
"자본잉여금",626,630,637
"기타자본",NA,-25,-25
"기타포괄손익누계액",0,-1,0
"이익잉여금(결손금)",193,383,453
"비지배주주지분",NA,NA,NA
"영업활동으로인한현금흐름",557,-492,181
"당기순손익",191,252,95
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",459,494,512
"퇴직급여",20,27,27
"종업원급여",NA,NA,NA
"주식보상비",6,NA,2
"감가상각비",59,71,105
"무형자산상각비",23,53,38
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",12,2,0
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",81,47,50
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,5,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",95,-1148,-272
"자산의감소(증가)",112,63,-308
"부채의증가(감소)",-17,-1212,36
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",664,-448,285
"기타영업활동으로인한현금흐름",-107,-44,-104
"이자수입",9,7,6
"이자지급(-)",-27,-43,-45
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-89,-9,-65
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-467,120,74
"투자활동으로인한현금유입액",3,276,111
"유동금융자산의감소",NA,NA,89
"장기금융상품의감소",NA,272,2
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",0,1,9
"무형자산의감소",NA,NA,4
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",2,2,6
"(투자활동으로인한현금유출액)",469,155,37
"유동금융자산의증가",37,18,NA
"장기금융상품의증가",295,NA,NA
"매도가능금융자산의증가",NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA
"유형자산의증가",81,81,13
"무형자산의증가",53,5,14
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",3,51,10
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",453,92,-295
"재무활동으로인한현금유입액",469,173,NA
"사채의증가",NA,NA,NA
"차입금의증가",467,173,NA
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,NA,NA
"기타부채의증가",1,NA,NA
"유상증자",NA,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",15,77,271
"사채의감소",NA,NA,NA
"차입금의감소",NA,NA,176
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",15,52,59
"기타금융부채의감소",NA,NA,35
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,25,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",0,NA,NA
"기타재무활동으로인한현금흐름",NA,-4,-25
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",-14,-2,-4
"현금및현금성자산의증가",529,-282,-44
"기초현금및현금성자산",98,627,345
"기말현금및현금성자산",627,345,300
