"","Price"
"2016-04-15",5779
"2016-04-22",5629
"2016-04-29",5629
"2016-05-04",5503
"2016-05-13",6041
"2016-05-20",5654
"2016-05-27",5916
"2016-06-03",6091
"2016-06-10",6041
"2016-06-17",6542
"2016-06-24",6842
"2016-07-01",7017
"2016-07-08",7029
"2016-07-15",6892
"2016-07-22",7667
"2016-07-29",7430
"2016-08-05",7755
"2016-08-12",7392
"2016-08-19",7217
"2016-08-26",6729
"2016-09-02",7167
"2016-09-09",6892
"2016-09-13",6917
"2016-09-23",7042
"2016-09-30",7342
"2016-10-07",7680
"2016-10-14",8055
"2016-10-21",7830
"2016-10-28",7755
"2016-11-04",7267
"2016-11-11",7530
"2016-11-18",7067
"2016-11-25",6992
"2016-12-02",6929
"2016-12-09",6529
"2016-12-16",6504
"2016-12-23",6817
"2016-12-29",6554
"2017-01-06",6166
"2017-01-13",6079
"2017-01-20",6291
"2017-01-26",6254
"2017-02-03",6229
"2017-02-10",7029
"2017-02-17",6979
"2017-02-24",6892
"2017-03-03",6892
"2017-03-10",6804
"2017-03-17",6642
"2017-03-24",6779
"2017-03-31",6667
"2017-04-07",6854
"2017-04-14",6692
"2017-04-21",6842
"2017-04-28",6904
"2017-05-04",6904
"2017-05-12",7004
"2017-05-19",6904
"2017-05-26",6792
"2017-06-02",7104
"2017-06-09",7280
"2017-06-16",7179
"2017-06-23",7179
"2017-06-30",7217
"2017-07-07",6979
"2017-07-14",7480
"2017-07-21",7492
"2017-07-28",8470
"2017-08-04",7970
"2017-08-11",7880
"2017-08-18",8000
"2017-08-25",7550
"2017-09-01",7550
"2017-09-08",7690
"2017-09-15",8300
"2017-09-22",8890
"2017-09-29",9220
"2017-10-13",9190
"2017-10-20",8880
"2017-10-27",8530
"2017-11-03",8800
"2017-11-10",9060
"2017-11-17",8820
"2017-11-24",8790
"2017-12-01",8620
"2017-12-08",9000
"2017-12-15",8750
"2017-12-22",8980
"2017-12-28",8850
"2018-01-05",9330
"2018-01-12",9270
"2018-01-19",9990
"2018-01-26",10450
"2018-02-02",10150
"2018-02-09",9540
"2018-02-14",9510
"2018-02-23",9440
"2018-03-02",9230
"2018-03-09",9100
"2018-03-16",9460
"2018-03-23",9050
"2018-03-30",8940
"2018-04-06",8660
"2018-04-13",8410
"2018-04-20",8190
"2018-04-27",8200
"2018-05-04",7790
"2018-05-11",7820
"2018-05-18",8240
"2018-05-25",8590
"2018-06-01",8620
"2018-06-08",8660
"2018-06-15",8930
"2018-06-22",8130
"2018-06-29",8000
"2018-07-06",7990
"2018-07-13",7980
"2018-07-20",7960
"2018-07-27",7820
"2018-08-03",7580
"2018-08-10",7870
"2018-08-17",7890
"2018-08-24",7580
"2018-08-31",7550
"2018-09-07",7450
"2018-09-14",7730
"2018-09-21",7700
"2018-09-28",7700
"2018-10-05",7540
"2018-10-12",7010
"2018-10-19",7180
"2018-10-26",6700
"2018-11-02",6650
"2018-11-09",6850
"2018-11-16",6720
"2018-11-23",6750
"2018-11-30",7260
"2018-12-07",7110
"2018-12-14",7180
"2018-12-21",6830
"2018-12-28",6720
"2019-01-04",6630
"2019-01-11",6750
"2019-01-18",7060
"2019-01-25",6900
"2019-02-01",7150
"2019-02-08",6980
"2019-02-15",6850
"2019-02-22",7300
"2019-02-28",7310
"2019-03-08",7780
"2019-03-15",7570
"2019-03-22",7160
"2019-03-29",7410
"2019-04-05",7390
"2019-04-12",7780
"2019-04-19",7530
"2019-04-26",7230
"2019-05-03",7240
"2019-05-10",6900
"2019-05-17",6600
"2019-05-24",6400
"2019-05-31",6220
"2019-06-07",6280
"2019-06-14",6530
"2019-06-21",6640
"2019-06-28",6370
"2019-07-05",6360
"2019-07-12",6310
"2019-07-19",6210
"2019-07-26",6110
"2019-08-02",6000
"2019-08-09",5760
"2019-08-16",5790
"2019-08-23",5810
"2019-08-30",5840
"2019-09-06",5660
"2019-09-11",5650
"2019-09-20",5670
"2019-09-27",5630
"2019-10-04",5500
"2019-10-11",5480
"2019-10-18",5380
"2019-10-25",5460
"2019-11-01",5380
"2019-11-08",5410
"2019-11-15",5450
"2019-11-22",5230
"2019-11-29",5090
"2019-12-06",5420
"2019-12-13",5400
"2019-12-20",5340
"2019-12-27",5320
"2020-01-03",5240
"2020-01-10",5310
"2020-01-17",5340
"2020-01-23",5270
"2020-01-31",5110
"2020-02-07",5020
"2020-02-14",5010
"2020-02-21",5160
"2020-02-28",4700
"2020-03-06",4705
"2020-03-13",4125
"2020-03-20",3800
"2020-03-27",3980
"2020-04-03",4105
"2020-04-10",4130
"2020-04-17",4320
"2020-04-24",4260
"2020-04-29",4395
"2020-05-08",4655
"2020-05-15",4725
"2020-05-22",5490
"2020-05-29",5410
"2020-06-05",5370
"2020-06-12",5360
"2020-06-19",5420
"2020-06-26",5570
"2020-07-03",5390
"2020-07-10",5200
"2020-07-17",5300
"2020-07-24",5140
"2020-07-31",5260
"2020-08-07",5500
"2020-08-14",5670
"2020-08-21",5820
"2020-08-28",5920
"2020-09-04",5540
"2020-09-11",5540
"2020-09-18",6000
"2020-09-25",6020
"2020-09-29",6100
"2020-10-08",6000
"2020-10-16",5970
"2020-10-23",5910
"2020-10-30",5800
"2020-11-02",5830
