"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"1","005930","삼성전자","코스피","전기전자",61300,1100,365947670315000,"2020-11-11","-",61300,"3,166","19.36","37,528","1.63",1416,2.31,1734,NA
"2","000660","SK하이닉스","코스피","전기전자",87000,500,63336205755000,"2020-11-11","-",87000,"2,943","29.56","65,836","1.32",1000,1.15,1471,NA
"3","207940","삼성바이오로직스","코스피","의약품",761000,9000,5.0351565e+13,"2020-11-11","-",761000,"3,067","248.13","65,812","11.56",0,0,2258,NA
"4","051910","LG화학","코스피","화학",692000,-10000,48849901356000,"2020-11-11","-",692000,"4,085","169.4","217,230","3.19",2000,0.29,2084,NA
"5","035420","NAVER","코스피","서비스업",280000,-3000,45993750600000,"2020-11-11","-",280000,"4,006","69.9","35,223","7.95",376,0.13,2053,NA
"6","068270","셀트리온","코스피","의약품",296500,20000,40025643317000,"2020-11-11","-",296500,"2,236","132.6","20,795","14.26",0,0,2104,NA
"7","005380","현대차","코스피","운수장비",175500,2000,37498766818500,"2020-11-11","-",175500,"11,310","15.52","253,001","0.69",4000,2.28,1709,NA
"8","006400","삼성SDI","코스피","전기전자",512000,-21000,35207439360000,"2020-11-11","-",512000,"5,331","96.04","175,114","2.92",1000,0.2,1757,NA
"9","035720","카카오","코스피","서비스업",355500,-500,31372099654500,"2020-11-11","-",355500,"-","-","60,603","5.87",127,0.04,2055,NA
"10","051900","LG생활건강","코스피","화학",1571000,42000,24536187487000,"2020-11-11","-",1571000,"46,431","33.84","234,042","6.71",11000,0.7,2082,NA
"11","000270","기아차","코스피","운수장비",58100,3600,23551610460700,"2020-11-11","-",58100,"4,556","12.75","71,487","0.81",1150,1.98,1453,NA
"12","012330","현대모비스","코스피","운수장비",243000,2000,23098290642000,"2020-11-11","-",243000,"24,234","10.03","339,207","0.72",4000,1.65,1895,NA
"13","028260","삼성물산","코스피","유통업",123000,6500,22987110963000,"2020-11-11","-",123000,"6,366","19.32","125,948","0.98",2000,1.63,2014,NA
"14","005490","POSCO","코스피","철강금속",238500,1500,20794060147500,"2020-11-11","-",238500,"22,823","10.45","510,076","0.47",10000,4.19,1717,NA
"15","105560","KB금융","코스피","금융업",47250,2550,19646924220000,"2020-11-11","-",47250,"8,451","5.59","92,672","0.51",2210,4.68,2194,NA
"16","017670","SK텔레콤","코스피","통신업",230500,3500,18611886385500,"2020-11-11","-",230500,"12,144","18.98","284,310","0.81",10000,4.34,1955,NA
"17","036570","엔씨소프트","코스피","서비스업",801000,4000,17585171622000,"2020-11-11","-",801000,"17,387","46.07","113,836","7.04",5220,0.65,2059,NA
