"","corp_code","sj_nm","account_nm","account_detail","2019","2018"
"1","01316227","재무상태표","유동자산","-","1470102673537","1428058178816"
"2","01316227","재무상태표","현금및현금성자산","-","89365306110","84734537962"
"3","01316227","재무상태표","매출채권 및 기타채권","-","821326252696","772214725522"
"4","01316227","재무상태표","기타금융자산","-","11605292049","21801471228"
"5","01316227","재무상태표","기타유동자산","-","22844670826","31459286821"
"6","01316227","재무상태표","재고자산","-","524231839065","517313518503"
"7","01316227","재무상태표","당기법인세자산","-","729312791","534638780"
"8","01316227","재무상태표","비유동자산","-","1754203898098","1710786079882"
"9","01316227","재무상태표","장기매출채권 및 기타채권","-","11168168135","8975223854"
"10","01316227","재무상태표","유형자산","-","1470072588816","1439546936080"
"11","01316227","재무상태표","투자부동산","-","124523291951","125519791709"
"12","01316227","재무상태표","무형자산","-","91949586712","75914865464"
"13","01316227","재무상태표","기타비유동금융자산","-","32172967922","37952780796"
"14","01316227","재무상태표","기타비유동자산","-","4582161211","3547904562"
"15","01316227","재무상태표","이연법인세자산","-","19735133351","19328577417"
"16","01316227","재무상태표","자산총계","-","3224306571635","3138844258698"
"17","01316227","재무상태표","유동부채","-","2074421797797","1994629707423"
"18","01316227","재무상태표","매입채무 및 기타채무","-","626878288615","643244889657"
"19","01316227","재무상태표","차입금","-","1381778583167","1324975126995"
"20","01316227","재무상태표","기타유동금융부채","-","11535767784","896898439"
"21","01316227","재무상태표","당기법인세부채","-","16004475981","2879247218"
"22","01316227","재무상태표","기타유동부채","-","38224682250","22633545114"
"23","01316227","재무상태표","비유동부채","-","566931030869","657313206277"
"24","01316227","재무상태표","장기매입채무 및 기타채무","-","31161153201","26438975640"
"25","01316227","재무상태표","장기차입금","-","451545302431","573686602733"
"26","01316227","재무상태표","순확정급여부채","-","4182119629","4020991964"
"27","01316227","재무상태표","이연법인세부채","-","75033722919","51502980877"
"28","01316227","재무상태표","기타비유동금융부채","-","3356478248","160911438"
"29","01316227","재무상태표","기타비유동부채","-","1652254441","1502743625"
"30","01316227","재무상태표","부채총계","-","2641352828666","2651942913700"
"31","01316227","재무상태표","지배기업의 소유주지분","-","488957665244","403667434968"
"32","01316227","재무상태표","자본금","-","21638410000","21638410000"
"33","01316227","재무상태표","주식발행초과금","-","402774060410","402774060410"
"34","01316227","재무상태표","이익잉여금","-","102735145299","18973323181"
