"","corp_code","sj_nm","account_nm","account_detail","2019","2018","2017"
"1","01071041","재무상태표","유동자산","-","31641955125","11467499135","13357520416"
"2","01071041","재무상태표","현금및현금성자산","-","5354036235","10747867598","12900693157"
"3","01071041","재무상태표","단기금융상품","-","25731675838","20000000","20000000"
"4","01071041","재무상태표","매출채권 및 기타유동채권","-","194090093","374846775","267453185"
"5","01071041","재무상태표","재고자산","-","98668976","145806978","111629850"
"6","01071041","재무상태표","기타유동금융자산","-","243704413","148582414","20628844"
"7","01071041","재무상태표","당기법인세자산","-","19779570","30395370","37115380"
"8","01071041","재무상태표","비유동자산","-","2099460132","1366946551","1630172173"
"9","01071041","재무상태표","기타비유동금융자산","-","244856361","241246750",""
"10","01071041","재무상태표","유형자산","-","1728490567","920773983","1246698833"
"11","01071041","재무상태표","영업권 이외의 무형자산","-","126113204","125647201","106646140"
"12","01071041","재무상태표","기타비유동자산","-","0","79278617","276827200"
"13","01071041","재무상태표","자산총계","-","33741415257","12834445686","14987692589"
"14","01071041","재무상태표","유동부채","-","2305012700","1882245165","1615368106"
"15","01071041","재무상태표","매입채무 및 기타유동채무","-","977975592","633707099","553723181"
"16","01071041","재무상태표","기타유동부채","-","1327037108","1248538066","1061644925"
"17","01071041","재무상태표","비유동부채","-","581755588","174958006","209803454"
"18","01071041","재무상태표","장기매입채무 및 기타비유동채무","-","543951389","137866600","173411400"
"19","01071041","재무상태표","기타비유동부채","-","37804199","37091406","36392054"
"20","01071041","재무상태표","부채총계","-","2886768288","2057203171","1825171560"
"21","01071041","재무상태표","지배기업의 소유주에게 귀속되는 자본","-","30854646969","10777242515","13162521029"
"22","01071041","재무상태표","자본금","-","1904474000","1609515500","1605215500"
"23","01071041","재무상태표","자본잉여금","-","31777751383","11388026017","16226391819"
"24","01071041","재무상태표","기타자본구성요소","-","1394798685","914651476","280495112"
"25","01071041","재무상태표","이익잉여금(결손금)","-","-4222377099","-3134950478","-4949581402"
"26","01071041","재무상태표","자본총계","-","30854646969","10777242515","13162521029"
"27","01071041","재무상태표","자본과부채총계","-","33741415257","12834445686","14987692589"
"28","01071041","포괄손익계산서","수익(매출액)","-","4783223061","3924040385","3672571077"
"29","01071041","포괄손익계산서","매출원가","-","2110086291","1726093566","1791852681"
"30","01071041","포괄손익계산서","매출총이익","-","2673136770","2197946819","1880718396"
"31","01071041","포괄손익계산서","판매비와관리비","-","7191999235","5604271123","4498712799"
"32","01071041","포괄손익계산서","영업이익(손실)","-","-4518862465","-3406324304","-2617994403"
"33","01071041","포괄손익계산서","금융수익","-","215939095","198667245","181777814"
"34","01071041","포괄손익계산서","금융원가","-","49049516","1277451","12384819"
"35","01071041","포괄손익계산서","기타이익","-","6281663","74087033","86139506"
"36","01071041","포괄손익계산서","기타손실","-","23203","103001","377391"
"37","01071041","포괄손익계산서","법인세비용차감전순이익(손실)","-","-4345714426","-3134950478","-2362839293"
"38","01071041","포괄손익계산서","법인세비용","-","0","0","0"
"39","01071041","포괄손익계산서","당기순이익(손실)","-","-4345714426","-3134950478","-2362839293"
"40","01071041","포괄손익계산서","기타포괄손익","-","8985759","18673717","-19711247"
"41","01071041","포괄손익계산서","당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)","-","8985759","18673717","-19711247"
"42","01071041","포괄손익계산서","총포괄손익","-","-4336728667","-3116276761","-2382550540"
"43","01071041","포괄손익계산서","기본주당이익(손실)","-","-1317","-976","-738"
"44","01071041","포괄손익계산서","희석주당이익(손실)","-","-1317","-976","-738"
"45","01071041","현금흐름표","영업활동현금흐름","-","-2506148048","-2034994305","-1565760529"
"46","01071041","현금흐름표","당기순이익(손실)","-","-4345714426","-3134950478","-2362839293"
"47","01071041","현금흐름표","당기순이익조정을 위한 가감","-","1531386170","1099631463","650670720"
"48","01071041","현금흐름표","퇴직급여","-","286580874","256859937","229453774"
"49","01071041","현금흐름표","감가상각비","-","705323503","439108399","500201929"
"50","01071041","현금흐름표","유형자산처분손실","-","5000","13000","29000"
"51","01071041","현금흐름표","무형자산상각비","-","25659637","22102717","15759207"
"52","01071041","현금흐름표","무형자산처분손실","-","","2000",""
"53","01071041","현금흐름표","주식보상비용(환입)","-","676966670","646193247","162505636"
"54","01071041","현금흐름표","외화환산손실","-","222825","19044","4251984"
"55","01071041","현금흐름표","이자비용","-","45331085","699352","572710"
"56","01071041","현금흐름표","이자수익","-","205698084","190250777","181243520"
"57","01071041","현금흐름표","외화환산이익","-","","4996456",""
"58","01071041","현금흐름표","정부보조금수익","-","-3005340","-70119000","-80860000"
"59","01071041","현금흐름표","영업활동으로인한자산ㆍ부채의변동","-","169049587","-203872295","-68898374"
"60","01071041","현금흐름표","매출채권 및 기타채권의 감소(증가)","-","184045345","-61310965","-131171238"
