"","corp_code","sj_nm","account_nm","account_detail","2019"
"1","01412822","재무상태표","유동자산","-","230551464903"
"2","01412822","재무상태표","현금및현금성자산","-","94646278024"
"3","01412822","재무상태표","매출채권","-","54730927752"
"4","01412822","재무상태표","기타채권","-","2903849179"
"5","01412822","재무상태표","유동파생상품자산","-","451617842"
"6","01412822","재무상태표","재고자산","-","43435590783"
"7","01412822","재무상태표","기타유동자산","-","34383201323"
"8","01412822","재무상태표","비유동자산","-","263648710535"
"9","01412822","재무상태표","유형자산","-","212154531468"
"10","01412822","재무상태표","무형자산","-","9683082196"
"11","01412822","재무상태표","투자부동산","-","5175365600"
"12","01412822","재무상태표","장기기타채권","-","629597702"
"13","01412822","재무상태표","장기보증금자산","-","2336744631"
"14","01412822","재무상태표","이연법인세자산","-","28949964282"
"15","01412822","재무상태표","기타비유동자산","-","4719424656"
"16","01412822","재무상태표","자산총계","-","494200175438"
"17","01412822","재무상태표","유동부채","-","184007280616"
"18","01412822","재무상태표","매입채무","-","37283341630"
"19","01412822","재무상태표","기타채무","-","50187560960"
"20","01412822","재무상태표","단기차입금","-","45110254174"
"21","01412822","재무상태표","유동성장기차입금","-","43364503048"
"22","01412822","재무상태표","유동파생상품부채","-","2377756627"
"23","01412822","재무상태표","당기법인세부채","-","5296223245"
"24","01412822","재무상태표","기타유동부채","-","387640932"
"25","01412822","재무상태표","비유동부채","-","169560785857"
"26","01412822","재무상태표","장기차입금","-","95258327367"
"27","01412822","재무상태표","퇴직급여부채","-","4666299285"
"28","01412822","재무상태표","장기기타채무","-","7118083245"
"29","01412822","재무상태표","비유동충당부채","-","938083408"
"30","01412822","재무상태표","이연법인세부채","-","1374392552"
"31","01412822","재무상태표","기타비유동부채","-","60205600000"
"32","01412822","재무상태표","부채총계","-","353568066473"
"33","01412822","재무상태표","지배기업의 소유주에게 귀속되는 자본","-","140632108965"
"34","01412822","재무상태표","자본금","-","3960220800"
"35","01412822","재무상태표","자본잉여금","-","127293752427"
"36","01412822","재무상태표","기타자본항목","-","-36713243"
"37","01412822","재무상태표","기타포괄손익누계액","-","5087849112"
"38","01412822","재무상태표","이익잉여금(결손금)","-","4326999869"
"39","01412822","재무상태표","자본총계","-","140632108965"
"40","01412822","재무상태표","자본과부채총계","-","494200175438"
"41","01412822","손익계산서","영업수익(매출액)","-","69994767555"
"42","01412822","손익계산서","매출원가","-","46395659683"
"43","01412822","손익계산서","매출총이익","-","23599107872"
"44","01412822","손익계산서","판매비와관리비","-","13419835166"
"45","01412822","손익계산서","영업이익(손실)","-","10179272706"
"46","01412822","손익계산서","금융수익","-","1685135817"
"47","01412822","손익계산서","금융비용","-","4976117763"
"48","01412822","손익계산서","기타영업외수익","-","1483372"
"49","01412822","손익계산서","기타영업외비용","-","39459653"
"50","01412822","손익계산서","법인세비용차감전순이익(손실)","-","6850314479"
"51","01412822","손익계산서","법인세비용","-","2356895709"
"52","01412822","손익계산서","당기순이익(손실)","-","4493418770"
"53","01412822","손익계산서","지배기업의 소유주에게 귀속되는 당기순이익(손실)","-","4493418770"
"54","01412822","손익계산서","보통주기본주당계속영업이익(손실)","-","113"
"55","01412822","손익계산서","구형우선주기본주당계속영업이익(손실)","-","114"
"56","01412822","손익계산서","보통주희석주당계속영업이익(손실)","-","113"
"57","01412822","손익계산서","구형우선주희석주당계속영업이익(손실)","-","114"
"58","01412822","포괄손익계산서","당기순이익(손실)","-","4493418770"
"59","01412822","포괄손익계산서","기타포괄손익","-","-1347465405"
"60","01412822","포괄손익계산서","당기손익으로 재분류되지 않는항목(세후기타포괄손익)","-","-149903201"
"61","01412822","포괄손익계산서","확정급여제도의 재측정손익(세후기타포괄손익)","-","-166418901"
"62","01412822","포괄손익계산서","토지재평가잉여금(세후기타포괄손익)","-","16515700"
"63","01412822","포괄손익계산서","당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)","-","-1197562204"
"64","01412822","포괄손익계산서","현금흐름위험회피손익(세후기타포괄손익)","-","1376895725"
"65","01412822","포괄손익계산서","해외사업장환산외환차이(세후기타포괄손익)","-","-2574457929"
"66","01412822","포괄손익계산서","총포괄손익","-","3145953365"
"67","01412822","포괄손익계산서","총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","-","3145953365"
"68","01412822","현금흐름표","영업활동으로 인한 현금흐름","-","20949949722"
"69","01412822","현금흐름표","당기순이익(손실)","-","4493418770"
"70","01412822","현금흐름표","조정","-","9121934492"
"71","01412822","현금흐름표","영업활동으로인한자산ㆍ부채의변동","-","7630706892"
"72","01412822","현금흐름표","이자수취(영업)","-","381058044"
"73","01412822","현금흐름표","이자지급(영업)","-","703640160"
"74","01412822","현금흐름표","법인세납부(환급)","-","-26471684"
"75","01412822","현금흐름표","투자활동으로 인한 현금흐름","-","-78878138535"
"76","01412822","현금흐름표","투자활동으로 인한 현금유입액;","-","251316700"
"77","01412822","현금흐름표","대여금의 감소","-","251316700"
"78","01412822","현금흐름표","투자활동으로 인한 현금유출액;","-","-79129455235"
"79","01412822","현금흐름표","대여금의 증가","-","185064068"
"80","01412822","현금흐름표","유형자산의 취득","-","76987396359"
"81","01412822","현금흐름표","무형자산의 취득","-","1917391208"
"82","01412822","현금흐름표","투자부동산의 취득","-","39603600"
"83","01412822","현금흐름표","재무활동으로 인한 현금흐름","-","21633577581"
"84","01412822","현금흐름표","재무활동으로 인한 현금유입액;","-","22500052455"
"85","01412822","현금흐름표","단기차입금의 순증가","-","3707518305"
"86","01412822","현금흐름표","장기차입금의 차입","-","18440480188"
"87","01412822","현금흐름표","주식선택권행사","-","352053962"
"88","01412822","현금흐름표","재무활동으로 인한 현금유출액;","-","-866474874"
"89","01412822","현금흐름표","금융리스부채의 상환","-","829761631"
"90","01412822","현금흐름표","자기주식의 취득","-","36713243"
"91","01412822","현금흐름표","외화환산으로 인한 현금의 변동","-","-1661776702"
"92","01412822","현금흐름표","현금및현금성자산의순증가(감소)","-","-37956387934"
"93","01412822","현금흐름표","기초현금및현금성자산","-","132602665958"
"94","01412822","현금흐름표","기말현금및현금성자산","-","94646278024"
"95","01412822","자본변동표","기초자본","연결재무제표 [member]","137170814881"
"96","01412822","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member]","120350683"
"97","01412822","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","6268895616"
"98","01412822","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member]","3946985000"
"99","01412822","자본변동표","기초자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member]","126834583582"
"100","01412822","자본변동표","당기순이익(손실)","연결재무제표 [member]","4493418770"
"101","01412822","자본변동표","당기순이익(손실)","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","4493418770"
"102","01412822","자본변동표","확정급여제도의 재측정요소","연결재무제표 [member]","-166418901"
"103","01412822","자본변동표","확정급여제도의 재측정요소","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","-166418901"
"104","01412822","자본변동표","재평가잉여금","연결재무제표 [member]","16515700"
"105","01412822","자본변동표","재평가잉여금","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","16515700"
"106","01412822","자본변동표","파생상품평가손익","연결재무제표 [member]","1376895725"
"107","01412822","자본변동표","파생상품평가손익","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","1376895725"
"108","01412822","자본변동표","해외사업환산손익","연결재무제표 [member]","-2574457929"
"109","01412822","자본변동표","해외사업환산손익","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","-2574457929"
"110","01412822","자본변동표","소계","연결재무제표 [member]","3145953365"
"111","01412822","자본변동표","소계","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","-1181046504"
"112","01412822","자본변동표","소계","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","4326999869"
"113","01412822","자본변동표","주식선택권의 행사","연결재무제표 [member]","352053962"
"114","01412822","자본변동표","주식선택권의 행사","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member]","-120350683"
"115","01412822","자본변동표","주식선택권의 행사","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member]","13235800"
"116","01412822","자본변동표","주식선택권의 행사","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member]","459168845"
"117","01412822","자본변동표","자기주식 취득","연결재무제표 [member]","-36713243"
"118","01412822","자본변동표","자기주식 취득","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member]","-36713243"
"119","01412822","자본변동표","소계:","연결재무제표 [member]","315340719"
"120","01412822","자본변동표","소계:","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member]","-157063926"
"121","01412822","자본변동표","소계:","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member]","13235800"
"122","01412822","자본변동표","소계:","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member]","459168845"
"123","01412822","자본변동표","기말자본","연결재무제표 [member]","140632108965"
"124","01412822","자본변동표","기말자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타자본구성요소 [member]","-36713243"
"125","01412822","자본변동표","기말자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|기타포괄손익누계액 [member]","5087849112"
"126","01412822","자본변동표","기말자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|이익잉여금 [member]","4326999869"
"127","01412822","자본변동표","기말자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본금 [member]","3960220800"
"128","01412822","자본변동표","기말자본","자본 [member]|지배기업의 소유주에게 귀속되는 자본 [member]|자본잉여금 [member]","127293752427"
