"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1",2020-11-11,"000250","삼천당제약","-",54700,"488","112.09","7,142","7.66",50,0.09,1,2364
"2",2020-11-11,"000440","중앙에너비스","-",8250,"132","62.5","7,246","1.14",160,1.94,2,NA
"3",2020-11-11,"001000","신라섬유","-",2405,"9","267.22","595","4.04",0,0,3,NA
"4",2020-11-11,"001840","이화공영","-",5310,"14","379.29","2,157","2.46",10,0.19,4,NA
"5",2020-11-11,"002800","신신제약","-",11200,"141","79.43","3,715","3.01",28,0.25,5,NA
"6",2020-11-11,"003380","하림지주","-",7330,"736","9.96","18,633","0.39",50,0.68,6,NA
"7",2020-11-11,"004780","대륙제관","-",4505,"337","13.37","6,719","0.67",100,2.22,7,NA
"8",2020-11-11,"005290","동진쎄미켐","-",29850,"1,138","26.23","6,931","4.31",90,0.3,8,NA
"9",2020-11-11,"005860","한일사료","-",1845,"-","-","1,568","1.18",25,1.36,9,NA
"10",2020-11-11,"001540","안국약품","-",12850,"221","58.14","11,366","1.13",220,1.71,10,NA
"11",2020-11-11,"001810","무림SP","-",2445,"61","40.08","9,203","0.27",35,1.43,11,NA
"12",2020-11-11,"003100","선광","-",25050,"831","30.14","46,250","0.54",350,1.4,12,NA
"13",2020-11-11,"003800","에이스침대","-",41350,"4,130","10.01","42,247","0.98",1100,2.66,13,NA
"14",2020-11-11,"005710","대원산업","-",5940,"1,950","3.05","15,540","0.38",125,2.1,14,NA
"15",2020-11-11,"002230","피에스텍","-",4670,"131","35.65","7,280","0.64",150,3.21,15,NA
"16",2020-11-11,"002290","삼일기업공사","-",3630,"265","13.7","4,744","0.77",100,2.75,16,NA
"17",2020-11-11,"005670","푸드웰","-",5250,"3,153","1.67","7,681","0.68",100,1.9,17,NA
"18",2020-11-11,"002680","한탑","-",2100,"-","-","1,573","1.34",0,0,18,NA
"19",2020-11-11,"003310","대주산업","-",2745,"51","53.82","1,472","1.86",30,1.09,19,NA
"20",2020-11-11,"005160","동국산업","-",3790,"263","14.41","7,054","0.54",130,3.43,20,NA
"21",2020-11-11,"004590","한국가구","-",4440,"405","10.96","6,919","0.64",115,2.59,21,NA
"22",2020-11-11,"004650","창해에탄올","-",13000,"2,729","4.76","13,530","0.96",600,4.62,22,NA
"23",2020-11-11,"005990","매일홀딩스","-",8150,"1,728","4.72","21,233","0.38",140,1.72,23,NA
"24",2020-11-11,"006050","국영지앤엠","-",3195,"32","99.84","1,514","2.11",15,0.47,24,NA
"25",2020-11-11,"006140","피제이전자","-",6150,"326","18.87","7,136","0.86",140,2.28,25,NA
"26",2020-11-11,"006580","대양제지","-",2840,"1,070","2.65","5,010","0.57",40,1.41,26,NA
"27",2020-11-11,"006620","동구바이오제약","-",22150,"1,585","13.97","8,918","2.48",100,0.45,27,NA
"28",2020-11-11,"006730","서부T&D","-",6640,"1","6,640","11,574","0.57",0,0,28,NA
"29",2020-11-11,"006910","보성파워텍","-",2085,"18","115.83","1,743","1.2",0,0,29,NA
"30",2020-11-11,"006920","모헨즈","-",5030,"50","100.6","2,067","2.43",0,0,30,NA
"31",2020-11-11,"007330","푸른저축은행","-",8590,"2,008","4.28","17,594","0.49",550,6.4,31,NA
"32",2020-11-11,"007370","진양제약","-",7130,"147","48.5","3,639","1.96",100,1.4,32,NA
"33",2020-11-11,"007390","네이처셀","-",9280,"16","580","1,338","6.94",0,0,33,NA
