"","시장구분","종목코드","종목명","산업분류","현재가(종가)","전일대비","시가총액(원)"
"1","코스피","030720","동원수산","어업",9050,0,42116935250
"2","코스피","007160","사조산업","어업",30800,500,1.54e+11
"3","코스피","006040","동원산업","어업",208000,-3000,764949328000
"4","코스피","004970","신라교역","어업",9350,60,1.496e+11
"5","코스피","003580","넥스트사이언스","광업",5380,-70,174774717660
"6","코스피","017810","풀무원","음식료품",16100,-100,613740677900
"7","코스피","280360","롯데제과","음식료품",101000,500,648088417000
"8","코스피","271560","오리온","음식료품",116000,-1000,4586191312000
"9","코스피","006090","사조오양","음식료품",9250,230,87160335750
"10","코스피","26490K","크라운제과우","음식료품",11850,50,9166686000
"11","코스피","264900","크라운제과","음식료품",8580,80,107454633000
"12","코스피","248170","샘표식품","음식료품",44950,400,205344455700
"13","코스피","101530","해태제과식품","음식료품",8440,90,245745977680
"14","코스피","014710","사조씨푸드","음식료품",6290,10,108304635470
"15","코스피","145995","삼양사우","음식료품",44000,0,16283080000
"16","코스피","145990","삼양사","음식료품",52300,-700,539393382700
"17","코스피","000087","하이트진로2우B","음식료품",21150,100,23902418700
"18","코스피","136490","선진","음식료품",10800,650,256819723200
"19","코스피","033920","무학","음식료품",6620,70,1.8867e+11
"20","코스피","000080","하이트진로","음식료품",34650,-50,2430129621150
"21","코스피","011155","CJ씨푸드1우","음식료품",45400,400,9.08e+09
"22","코스피","011150","CJ씨푸드","음식료품",4815,20,173006671995
"23","코스피","097955","CJ제일제당 우","음식료품",162000,0,215044146000
"24","코스피","097950","CJ제일제당","음식료품",367000,-12500,5524886262000
"25","코스피","027740","마니커","음식료품",702,15,139327760988
"26","코스피","002600","조흥","음식료품",158000,-1000,9.48e+10
"27","코스피","049770","동원F&B","음식료품",173500,1000,669558014000
"28","코스피","036580","팜스코","음식료품",4900,60,179966920700
"29","코스피","023150","MH에탄올","음식료품",7610,-150,56150582860
"30","코스피","008040","사조동아원","음식료품",868,3,122513512800
"31","코스피","007310","오뚜기","음식료품",568000,23000,2085685208000
"32","코스피","006980","우성사료","음식료품",3140,30,9.7026e+10
"33","코스피","005610","SPC삼립","음식료품",70900,2400,611796738100
"34","코스피","005305","롯데칠성우","음식료품",58600,900,45433166000
"35","코스피","005300","롯데칠성","음식료품",90500,1500,812248631500
"36","코스피","005180","빙그레","음식료품",56700,300,558565364700
"37","코스피","004415","서울식품우","음식료품",5260,10,11700870000
"38","코스피","004410","서울식품","음식료품",156,0,52635960000
"39","코스피","004370","농심","음식료품",295500,-500,1797420711000
"40","코스피","003960","사조대림","음식료품",14250,150,130593654750
"41","코스피","003925","남양유업우","음식료품",143000,5000,23832666000
"42","코스피","003920","남양유업","음식료품",274000,3000,1.9728e+11
"43","코스피","003680","한성기업","음식료품",8850,-450,54954207750
"44","코스피","003230","삼양식품","음식료품",1e+05,100,753301500000
"45","코스피","002270","롯데푸드","음식료품",317000,4500,358802790000
"46","코스피","002140","고려산업","음식료품",3875,125,96640271875
"47","코스피","001795","대한제당우","음식료품",14050,-50,9108277800
"48","코스피","001790","대한제당","음식료품",19100,100,171320467800
"49","코스피","001685","대상우","음식료품",17650,250,24184435950
"50","코스피","001680","대상","음식료품",25250,50,874862631250
"51","코스피","001130","대한제분","음식료품",157000,500,2.6533e+11
"52","코스피","000890","보해양조","음식료품",911,25,116106378803
"53","코스피","016450","한세예스24홀딩스","섬유의복",6180,240,2.472e+11
"54","코스피","111110","호전실업","섬유의복",8130,10,6.504e+10
"55","코스피","093240","형지엘리트","섬유의복",2865,-295,89258496270
"56","코스피","105630","한세실업","섬유의복",18350,100,7.34e+11
"57","코스피","102280","쌍방울","섬유의복",641,-5,153429520907
"58","코스피","090370","메타랩스","섬유의복",1255,20,79930870935
"59","코스피","093050","LF","섬유의복",16100,150,4.70764e+11
"60","코스피","084870","TBH글로벌","섬유의복",1970,5,41087933430
"61","코스피","007980","태평양물산","섬유의복",1695,30,81613549965
"62","코스피","007700","F&F","섬유의복",96900,3700,1.49226e+12
"63","코스피","020000","한섬","섬유의복",29550,-400,727816500000
"64","코스피","016090","대현","섬유의복",1875,-10,83029331250
