"산업별",2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06
"산업별",가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수),가동률지수(원지수)
"도축, 육류 가공 및 저장 처리업",111.6,109.3,126.1,124.7,94.7,100.7,99.8,113.6,94.3,103.1,104.3,108.3,106.2,104.2,116.4,108.0,107.2,99.0,100.0,120.8,83.9,95.2,102.5,106.3,99.1,105.3,113.8,95.5,107.9,98.1,105.4,110.3,97.6,104.4,105.4,96.8,107.0
"수산물 가공 및 저장 처리업",103.0,100.4,105.0,119.7,95.8,109.2,107.5,115.7,102.2,108.9,106.1,113.9,100.1,100.7,102.9,106.4,117.6,111.5,110.5,121.5,88.0,102.0,109.2,106.4,98.2,102.2,107.7,102.2,113.4,109.7,111.9,108.2,95.0,103.4,105.4,94.8,106.2
"과실, 채소 가공 및 저장 처리업",111.1,110.3,127.8,129.8,112.7,124.4,100.7,91.5,84.8,104.3,104.3,100.5,99.8,111.8,127.2,121.4,129.8,132.3,101.1,99.0,85.4,102.4,112.1,110.4,109.0,117.7,121.2,118.5,123.6,136.5,106.8,92.9,101.0,94.7,95.9,95.9,113.3
"동물성 및 식물성 유지 제조업",95.5,94.5,96.2,102.1,99.9,98.5,100.9,95.7,88.0,96.3,88.5,94.2,90.6,97.3,105.1,95.0,97.9,91.5,98.6,104.7,86.5,98.4,98.7,96.7,98.5,102.9,99.6,102.6,90.0,99.9,110.6,106.0,99.8,103.6,83.7,87.0,89.1
"낙농제품 및 식용빙과류 제조업",119.2,121.4,116.6,104.3,90.8,81.3,80.2,89.7,80.5,100.5,105.0,110.8,110.3,115.3,121.0,94.0,92.6,82.3,81.1,93.0,81.6,101.5,104.1,112.0,108.9,114.1,105.1,92.7,94.6,84.0,86.4,87.5,85.3,100.1,102.0,105.5,111.5
"곡물가공품, 전분 및 전분제품 제조업",103.7,105.6,110.6,115.0,92.7,102.8,101.4,110.8,90.8,103.4,97.9,103.2,101.5,104.0,106.5,99.8,110.6,105.5,106.5,115.1,86.4,99.2,105.6,108.0,102.3,112.9,114.0,99.0,111.4,108.5,105.8,107.5,98.3,102.0,99.7,99.4,104.9
"기타 식품 제조업",100.1,95.7,100.4,114.0,95.1,106.7,103.9,109.7,89.7,98.4,97.9,103.2,96.7,94.2,97.9,94.7,107.7,105.3,102.8,111.3,83.8,100.0,101.8,99.7,91.2,100.1,92.9,95.1,107.0,106.0,108.3,105.0,97.7,109.3,104.1,98.2,98.4
"동물용 사료 및 조제식품 제조업",97.9,93.6,98.0,104.7,96.0,104.8,105.0,103.2,91.6,98.8,97.0,102.3,99.5,96.9,98.3,98.2,110.6,106.2,104.9,109.2,91.3,100.5,103.8,107.4,100.8,107.1,101.4,100.7,110.2,104.4,107.3,106.4,98.9,105.9,105.9,105.3,104.0
"알콜음료 제조업",117.3,106.9,110.2,106.3,87.9,103.1,93.3,96.8,86.6,98.1,96.8,106.3,105.8,108.6,106.3,90.1,106.4,86.4,86.5,99.9,81.5,95.2,99.1,106.1,102.3,100.8,101.7,92.3,94.5,84.0,87.8,93.8,82.8,84.6,91.4,95.8,111.0
"비알콜음료 및 얼음 제조업",119.7,120.4,122.5,122.3,97.5,101.8,89.2,107.3,85.8,106.4,104.6,109.2,112.7,119.5,121.6,108.4,111.1,97.1,91.1,110.8,88.4,106.4,113.0,123.3,113.0,123.8,111.5,104.9,110.7,98.1,89.2,94.0,92.3,96.1,103.1,103.0,116.2
"담배 제조업",125.4,126.5,103.9,125.7,89.2,115.5,92.3,108.3,92.7,108.7,102.1,105.1,100.0,107.1,95.2,86.4,101.2,107.4,68.0,94.1,78.6,108.0,111.7,111.0,108.6,120.7,97.6,96.2,94.4,103.1,85.5,95.6,104.9,107.2,92.6,91.4,113.2
"방적 및 가공사 제조업",98.7,96.5,92.5,95.2,87.2,92.2,89.1,87.7,74.7,92.6,91.0,91.6,85.7,86.2,81.7,80.3,95.0,89.0,89.7,93.3,76.1,89.5,88.1,90.3,84.3,86.3,78.4,75.0,86.4,80.8,82.5,77.4,73.7,80.7,64.6,54.2,61.9
"직물직조 및 직물제품 제조업",92.5,88.2,85.2,93.9,83.3,95.0,84.3,86.9,75.1,95.8,93.9,102.6,101.3,95.0,90.3,81.5,99.3,96.5,93.9,87.2,74.2,96.1,100.8,103.3,96.9,104.2,87.6,90.7,102.1,96.8,94.2,80.8,80.7,95.0,76.1,68.4,74.0
"편조원단 및 편조제품 제조업",98.5,87.1,88.2,98.1,90.4,100.9,102.2,102.5,91.1,109.9,100.6,108.8,110.1,109.4,93.9,90.9,99.1,98.6,103.0,100.7,96.0,109.5,99.5,101.7,92.8,85.1,79.4,78.9,81.6,85.7,81.1,77.1,82.6,83.3,53.2,40.7,52.0
"섬유제품 염색, 정리 및 마무리 가공업",96.6,92.0,86.0,104.1,86.1,105.2,95.6,88.8,75.5,99.7,98.7,100.6,92.2,87.9,83.1,80.3,98.7,91.7,85.0,85.7,70.7,90.0,95.8,96.1,85.9,89.1,75.0,81.9,97.3,90.0,90.2,78.8,84.3,88.6,58.8,53.9,63.6
"기타 섬유제품 제조업",100.2,98.0,95.7,100.5,91.2,99.5,94.5,97.9,85.3,103.4,99.0,101.3,95.5,94.6,92.3,87.6,105.0,99.8,93.7,95.3,79.3,94.1,97.9,95.1,93.0,96.8,93.7,88.3,96.4,89.8,90.2,86.3,91.6,104.8,79.6,79.4,89.3
"가죽, 가방 및 유사제품 제조업",68.3,73.9,78.2,113.3,89.6,64.6,69.3,116.2,106.3,116.3,132.3,129.3,117.2,110.1,123.6,111.3,94.1,75.8,90.5,89.1,62.1,102.7,121.7,89.5,86.1,95.0,86.7,93.2,104.8,88.5,86.9,99.8,110.4,109.8,91.9,88.9,72.3
"신발 및 신발부분품 제조업",81.8,79.8,68.0,74.4,64.7,67.7,86.6,77.2,63.2,75.6,72.0,67.6,61.9,85.1,70.0,64.4,66.9,67.4,72.7,78.7,82.9,87.3,85.8,91.0,72.7,95.7,101.3,97.8,91.2,83.6,81.5,83.5,75.1,80.5,78.1,72.9,68.7
"제재 및 목재 가공업",117.7,102.0,101.9,114.2,95.6,115.5,112.7,97.1,79.8,104.8,100.7,104.1,104.4,109.1,100.6,92.2,116.5,106.7,89.0,82.6,64.5,88.6,94.1,89.8,83.8,85.7,78.7,67.5,94.3,89.0,90.7,75.5,88.8,96.7,99.2,86.9,90.2
"나무제품 제조업",108.5,106.2,100.5,106.4,94.9,104.8,99.8,94.3,85.9,99.5,96.7,97.5,96.0,99.9,96.1,92.9,99.6,101.2,98.6,97.2,85.7,101.5,94.5,92.3,85.7,94.3,85.8,85.4,95.2,97.5,96.8,90.5,90.8,100.2,94.4,84.2,94.4
