날짜,KG동부제철,POSCO,동국제강,현대제철,고려제강,F&F,LF,한섬,한세실업,신세계인터내셔날,대한항공,아시아나항공,한진칼,한국항공우주,한화에어로스페이스
2015-03-31,-43589111571,3.35E+11,-166835754,2.43E+11,3746278379,2448523376,14803423054,15918912464,14157694250,9633088168,-1.33051E+11,59602120673,-32057280447,43585000000,18242888710
2015-06-30,-22977758908,1.17E+11,156775304,2.01E+11,11707297645,1419231222,16997787926,24213855889,14967138371,1532215113,-1.6923E+11,-85352908517,-62400825768,56988000000,-47354329608
2015-09-30,7847519505,-6.58E+11,-249847483,26129247109,-4894052760,620403888,1163019980,9315093078,40352452893,-2916760500,-4.9288E+11,-62164317172,-1.34E+11,36143000000,34407101861
2015-12-31,10651036454,1.09E+11,35515033,2.69E+11,7786840666,7952329255,17646784844,23444076605,34074396323,3991092667,2.32195E+11,-51275244086,22814833196,1.22E+11,948756243
2016-03-31,-24020544544,3.38E+11,84833686,1.59E+11,7503481353,506575779,7494814563,19159936122,16363759086,-2240410972,-1.74901E+11,44433206385,-42700455854,75292000000,1.96E+11
2016-06-30,25103039112,2.21E+11,129605745,2.55E+11,7381629299,3188414057,18283330689,8821886634,13052872118,2051868293,-2.50834E+11,-26652363470,-64896576384,68424000000,31344512762
2016-09-30,13896923958,4.76E+11,42302529,3.01E+11,15695558328,4379837773,852331168,10973168019,26125995089,3366685037,5.10824E+11,1.53E+11,49986575678,46445000000,29417715030
2016-12-31,-87690003009,13726357238,-185966353,1.20E+11,9709057911,22153082402,24525190793,17520919930,-9558699032,14276401275,-6.41934E+11,-1.18E+11,-3.39E+11,74640000000,88883554307
2017-03-31,21204659259,9.77E+11,42007485,3.41E+11,16918239744,11957452498,20031529739,24841722450,12655122350,6492410259,5.59174E+11,96109455561,1.73E+11,37088000000,10205297146
2017-06-30,-40196126323,5.30E+11,-69376583,1.38E+11,10418024567,11085427406,23387166582,9597272987,6571996168,1125875553,-2.00326E+11,-74795390722,-71936418364,-15182000000,17262215182
2017-09-30,-32940225666,9.07E+11,12531371,1.80E+11,10713763749,10766742931,6695480944,6707649322,22363883750,-1195625911,61634378869,17005964388,36424161432,-81340000000,-17576036765
2017-12-31,-72577710193,5.60E+11,4784948030,68377790904,-15599151169,41078213144,19839609133,12709602894,4506328670,17715823109,3.81415E+11,2.10E+11,91572164383,-1.76E+11,-57639554238
2018-03-31,-48746341559,1.08E+12,-38902292109,1.77E+11,10078494172,48634705248,22633773820,23106484759,-10334445840,9086254301,-10035676721,-5417667473,44736206335,31698411078,-41018295305
2018-06-30,-58242128202,5.80E+11,-1.90E+11,1.90E+11,-4711477461,20001445249,19924123968,10963737226,-4806941110,10705468185,-3.04704E+11,-49391208749,-93373050486,27301994662,31107058346
2018-09-30,-30133659287,1.06E+12,-8289927656,-38106412360,-3255520917,13360728168,11270543096,14356949991,20754769741,9667053026,2.57251E+11,47839756706,90350287165,-51496417709,-10925562603
2018-12-31,71061650544,-8.29E+11,-67103545597,79132779031,-235469183,27301694928,27511337824,25930761679,-55415744191,28219276420,-1.4116E+11,-1.89E+11,-52093044773,48035476077,70087858328
2019-03-31,-47570399423,7.78E+11,729901937,1.14E+11,8550173043,14322476415,19498033497,25438577702,576288647,22882972281,-61829350880,-89178769206,6216828724,42523403154,-7477350918
2019-06-30,-33746207074,6.81E+11,20614520866,51068145958,8552837669,21029282232,20416188153,11438886146,5864935689,10144022922,-3.96299E+11,-2.02E+11,-1.51E+11,92792819671,69257774950
2019-09-30,21031942306,4.97E+11,-60101219723,-65755720620,6140755978,24205483512,2296480589,21040575066,17659993685,22000030534,-2.51347E+11,-2.33E+11,-92994206950,36609978285,85997173908
2019-12-31,26747123719,25963325662,-42934331820,-73746946001,-17185435086,50386035900,27238880705,27342930721,-41368934635,18974017324,86713882181,-2.94E+11,-21143865750,-3634034889,14649720332
2020-03-31,4480191724,4.35E+11,-1.21E+11,-1.15E+11,3193926647,13775902575,8573362317,21604140198,-17686839137,4679345228,-7.36858E+11,-6.83E+11,-2.81E+11,79470862793,-9149115248
2020-06-30,27655209588,1.05E+11,62254152418,-12937556608,-21855144219,14063949405,18612460525,12634738393,7376363588,16271138194,1.1737E+11,50000351465,-52560803874,41760161616,42321999962
